Nome_Logradouro,Complemento
FONTE DO BOI,APARTAMENTO 303 BLOCO B
OSWALDO CRUZ,
FONTE DO BOI,ANDAR 1
BARRO VERMELHO,APARTAMENTO 204 BLOCO B
BARRO VERMELHO,APARTAMENTO 105
AUGUSTO SEVERO,
TAMOIOS,2 201
ARGOLO,
MAMUTE,
VINHAIS,APARTAMENTO 201
NATALIA VINHAIS,
DURVAL FRAGA,TERREO APARTAMENTO 04
INACIO DO AMARAL,
VALE DAS PEDRINHAS,LOJA
IQUEBANA,ANDAR
JANAINA,ANDAR
,ANDAR 1
SIBERIA,SUBSOLO
SIBERIA,FUNDOS
COREIA DO SUL,TERREO
ALAGOAS,TERREO
ALAGOAS,FUNDOS TERREO 2
ALAGOAS,TERREO 1
CAIO PEDREIRA,
JOAO CARLOS,
NAGE,TERREO
ARY PEREIRA DE OLIVEIRA,
DE ITABORAHY,301 A
ITABORAHY,BLOCO A
DE ITABORAHY,BLOCO B
MENEZES VILLAS BOAS,APARTAMENTO 301
AURELINO SILVA,ANDAR 1
HELENITA,ANDAR 2
ANTENOR COSTA NUNO,TERREO
ANTENOR COSTA NUNO,
ANTENOR COSTA NUNO,SOBRADO
OSVALDINA,
,ANDAR 2
ANTENOR COSTA NUNO,TERREO
TERCEIRA CRISTOVAO FERREIRA,TERREO
TERCEIRA CRISTOVAO FERREIRA,FUNDOS
CRISTOVAO FERREIRA,ANDAR 2
VARGAS,1 102
ESPERANCA,FUNDOS
ELISIO DOS SANTOS,FUNDOS 1 CASA
JOAO XXIII,CASA
JOAO XXIII,SOBRADO
,SUBSOLO 2 CASA 2
DOS PASSOS,FUNDOS ANDAR 1
,GARAGEM
CASAES,
ANTONINO CASAES,CASA
MALTEZ,FRENTE
MOISES MAIA,CASA
PAULO VI,
ANTONIO CARLOS,
ANTONIO CARLOS MAGALHAES,
BONFIM,TERREO
MARIANO,
,SOBRADO 1
OLEGARIO MARIANO,APARTAMENTO 102
VIETNA DO SUL,SOBRADO
BELA ESPERANCA,TERREO 1
DOIS DE,TERREO 1
JOAO CRISOSTOMO,CASA 2
TEREZINHA DE IMBIRUCU,SOBRADO
TEREZINHA DE IMBIRUCU,
MARINO DA HORA,TERREO
MARINO DA HORA,1
NOVE DE JANEIRO,
,SOBRADO
MANGABEIRA,CASA 1
